NAME	Other	Non-inflammatory_Macrophage	alpha-beta_T_Cells	Inflammatory_Macrophage	NK-like_Cells	gamma-delta_T_Cells	Mature_B_Cells	Plasma_Cells
CD55	1	154.470271252693	1	123.589741018291	1	1	1	1
CD59	221.512749929456	209.070949939885	1	1	1	1	1	91.6475676210807
CD5L	1	1672.65996842373	1	1	1	1	1	1
CD6	1	1	87.7915957277599	1	1	1	1	1
CD63	341.320634832652	928.310730343233	200.984451945385	607.115749401389	653.072324728483	379.40159741515	1	79.3734248174819
CD68	1	687.619362615223	1	399.759716333332	1	1	1	1
CD69	1	1	694.069633253927	1	659.418765716269	354.193447886944	654.207512344109	1
CD7	1	1	335.720114858423	1	1981.95823678632	905.562818844966	1	1
CD74	141.139411482212	3925.68298151575	436.843303200657	3886.85433778777	316.047580329529	293.913300123262	5235.44709851995	548.112728757516
CD79A	1	1	1	1	1	1	987.333241185165	147.977061935975
CD79B	1	1	1	1	1	1	671.237333462911	88.6982661299184
CD81	279.985950477963	301.094933933273	70.8041624400576	121.487018541609	148.437588303846	71.5689486368609	1	1
CD83	1	1	1	1	1	1	104.199909162552	1
CD84	1	218.979213811361	1	1	1	1	1	1
CD8A	1	1	224.798698518712	1	1	1	1	1
CD8B	1	1	145.049056534576	1	1	1	1	1
CD93	1	105.177870550564	1	112.715106018094	1	1	1	1
CD96	1	1	108.063203603609	1	127.949769521743	1	1	1
CDC37	1	1	101.148171184404	1	90.5295931480205	90.2500157399052	1	1
CDC42SE1	1	1	132.394354860239	97.4040886115308	180.443893059043	276.830806462528	89.5505473019955	1
CDC42SE2	1	81.3219152483236	202.329592362384	1	164.65746498254	136.288364393134	90.9043439192488	1
CDK2AP2	1	1	1	1	81.1082255347975	100.789854449754	1	120.222057171434
CDKN2D	1	1	1	1	1	116.59749501035	1	1
CDV3	1	105.680698570627	1	88.8045334173704	1	1	1	100.739734088349
CEBPB	166.332625132387	414.746721945246	63.6132664520749	421.877019150967	1	104.308280577224	1	1
CEBPD	105.810287567879	277.078344279809	145.767361083707	445.310400510955	484.194838118215	156.433985578076	1	1
CECR1	1	200.078350292677	1	143.300362068354	1	1	1	1
CELF1	99.812015811897	73.001166070516	74.7176619511977	88.3201386329742	1	1	60.7394756895548	1
CENPW	1	1	1	1	1	1	1	86.04245682032
CEP78	1	1	1	1	1	111.184111589643	1	1
