"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMAD9",2.72732711238361e-105,1.0651512944003,0.19,0.014,5.45656335374589e-101,"Central_venous_LSECs","SMAD9"
"CASKIN2",2.26850321384916e-103,1.19009789252216,0.245,0.025,4.53859437994801e-99,"Central_venous_LSECs","CASKIN2"
"AOC3",2.85266714451354e-103,0.772652516829456,0.114,0.004,5.70733115602823e-99,"Central_venous_LSECs","AOC3"
"SMAD6",1.86231073662118e-102,1.27903072528127,0.265,0.029,3.725925090758e-98,"Central_venous_LSECs","SMAD6"
"DOCK6",3.21702975729286e-102,1.14006346034517,0.225,0.021,6.43631143541583e-98,"Central_venous_LSECs","DOCK6"
"EPAS1",3.31920181438957e-101,1.65493118962271,0.598,0.162,6.64072707004921e-97,"Central_venous_LSECs","EPAS1"
"GPM6A",2.61368155536842e-100,1.38759141657481,0.284,0.035,5.2291926878256e-96,"Central_venous_LSECs","GPM6A"
"DGKG",6.39988909283032e-100,0.944928639053214,0.16,0.01,1.28042581080256e-95,"Central_venous_LSECs","DGKG"
"RASGRP3",6.97023562007283e-100,1.22623016315015,0.278,0.033,1.39453504050797e-95,"Central_venous_LSECs","RASGRP3"
"DPYSL2",7.13572430356722e-99,1.57374611275486,0.559,0.139,1.42764436141469e-94,"Central_venous_LSECs","DPYSL2"
"C11orf96",1.51041852311161e-98,1.29829587526022,0.281,0.034,3.0218943391894e-94,"Central_venous_LSECs","C11orf96"
"PPP1R14A",1.78987024733761e-98,1.23532029293122,0.31,0.041,3.58099340384835e-94,"Central_venous_LSECs","PPP1R14A"
"MARCKS",2.07886788154664e-96,1.47217081229187,0.542,0.128,4.15919097061037e-92,"Central_venous_LSECs","MARCKS"
"S100A13",7.61330748316379e-93,1.53958419547621,0.526,0.128,1.52319442815658e-88,"Central_venous_LSECs","S100A13"
"FAM212A",1.77965948245288e-92,0.940430501486592,0.16,0.011,3.56056472654348e-88,"Central_venous_LSECs","FAM212A"
"PITPNM3",2.83638337913328e-92,1.02329335493669,0.167,0.012,5.67475222663195e-88,"Central_venous_LSECs","PITPNM3"
"S1PR1",6.69291731463151e-92,1.30004355650007,0.317,0.047,1.33905196713833e-87,"Central_venous_LSECs","S1PR1"
"RUNX1T1",2.21257129805576e-91,1.21130300043015,0.271,0.034,4.42669139602017e-87,"Central_venous_LSECs","RUNX1T1"
"ST6GALNAC3",3.92207657821116e-91,1.04354961720827,0.209,0.02,7.84689861002707e-87,"Central_venous_LSECs","ST6GALNAC3"
"TMEM88",4.72707105600911e-91,1.34386304434836,0.278,0.036,9.45745106175744e-87,"Central_venous_LSECs","TMEM88"
"FAM101B",6.7061491820644e-91,1.25465418945726,0.314,0.046,1.34169926685562e-86,"Central_venous_LSECs","FAM101B"
"CTSD",5.69374300979293e-89,1.16084400465635,0.925,0.617,1.13914716396927e-84,"Central_venous_LSECs","CTSD"
"OSMR",1.75270304825601e-88,1.37655775832102,0.275,0.037,3.5066329886458e-84,"Central_venous_LSECs","OSMR"
"SLC27A3",1.80660449350527e-88,1.58590173724581,0.418,0.086,3.61447361015598e-84,"Central_venous_LSECs","SLC27A3"
"FCGRT",4.39457580888215e-88,1.32678308912785,0.85,0.427,8.79222782083052e-84,"Central_venous_LSECs","FCGRT"
"PTRF",4.80498054724338e-88,1.34871713638261,0.369,0.064,9.61332458086983e-84,"Central_venous_LSECs","PTRF"
"LIMS2",5.56966651167881e-88,1.37340622423952,0.35,0.059,1.11432317899158e-83,"Central_venous_LSECs","LIMS2"
"EVA1B",1.76170454427396e-87,1.25776378295424,0.284,0.04,3.52464228172891e-83,"Central_venous_LSECs","EVA1B"
"TOX2",4.78259262538922e-87,1.03135183439246,0.212,0.022,9.56853306561621e-83,"Central_venous_LSECs","TOX2"
"ANGPT2",6.50679996804476e-87,1.03685004696035,0.163,0.012,1.30181546960671e-82,"Central_venous_LSECs","ANGPT2"
"SHE",1.40205910530955e-86,1.22451319496811,0.265,0.035,2.80509965199282e-82,"Central_venous_LSECs","SHE"
"CFP",4.35586450847757e-86,1.39055636767186,0.448,0.095,8.71477812211107e-82,"Central_venous_LSECs","CFP"
"PHACTR2",4.56417361781347e-86,1.49208864901238,0.484,0.118,9.13154215715942e-82,"Central_venous_LSECs","PHACTR2"
"GAS2L1",5.19576348998917e-86,1.24500809653442,0.284,0.041,1.03951640144213e-81,"Central_venous_LSECs","GAS2L1"
"ARHGEF15",2.15603212916082e-85,0.855075210953254,0.141,0.009,4.31357348081206e-81,"Central_venous_LSECs","ARHGEF15"
"NUDT10",4.19315830396439e-85,0.934835594792233,0.17,0.014,8.38925181874155e-81,"Central_venous_LSECs","NUDT10"
"EXOC3L1",6.89459800926246e-85,0.865579695206866,0.154,0.011,1.37940222371314e-80,"Central_venous_LSECs","EXOC3L1"
"IGFBP3",1.20013045914802e-84,1.30094140391937,0.261,0.034,2.40110100961745e-80,"Central_venous_LSECs","IGFBP3"
"CSF1",1.37900507300668e-84,1.06426861897231,0.203,0.02,2.75897544956447e-80,"Central_venous_LSECs","CSF1"
"IGFBP4",3.37749302591616e-84,1.34487920724272,0.801,0.377,6.75735029695046e-80,"Central_venous_LSECs","IGFBP4"
