NAME	Other	Kupffer cells	TM1	SAMs	T cells	cDC2	cDC1	B cells
CBWD6	1	1	1	1	1	1	1	181.245681430057
CBX3	257.551252524089	1	1	1	305.387112504454	227.820930530104	285.346112124178	1
CCDC50	216.410912300755	1	1	1	1	1	1	1
CCDC6	1	1	1	1	1	1	294.940084827968	1
CCDC69	1	1	1	1	1	1	1	194.100583571513
CCDC88A	1	285.953660962708	1	331.551071477163	1	355.329482952569	624.867550163665	1
CCL14	1872.78083866513	1	1	1	1	1	1	1
CCL3	1	1415.90227832541	417.052057350353	937.79856339969	1	396.050950990784	1	1
CCL3L3	1	316.422099577997	1	290.458836968809	1	1	1	1
CCL4	1	1419.76162861665	300.099804630302	667.505314789458	2485.66581542525	1	1	1
CCL4L2	1	593.113635968286	1	1	527.979911780139	1	1	1
CCL5	1	1	1	1	2817.26884950463	1	1	1
CCNC	1	1	1	1	1	1	1	225.206167256245
CCND1	291.366005718947	1	1	1	1	1	228.149821029438	1
CCND2	1	1	1	1	389.603274325834	1	1	1
CCND3	1	1	1	1	351.247109774224	1	160.717079514099	1
CCNL1	1	1	1	1	1	181.494380827203	1	1
CCPG1	1	1	1	1	1	1	1	479.859708452904
CCR1	1	631.957345933167	1	203.872469140504	1	1	1	1
CCT2	183.513789788497	1	1	1	1	1	1	1
CCT3	183.767830810033	1	1	1	1	1	1	1
CCT4	217.163836943976	1	1	1	1	1	1	1
CCT5	193.741863318344	1	1	1	1	1	1	1
CCT6A	190.153910894846	1	1	1	1	197.724458293487	295.720876505454	1
CCZ1	1	1	1	1	1	1	94.7484263747787	1
CD14	1	910.142233149921	647.844124654771	980.663963004143	1	303.002379070438	1	1
CD151	294.675860839158	1	1	1	1	1	1	1
CD163	1	282.501815069633	1	1	1	1	1	1
CD163L1	1	1841.84312675988	482.496069471085	673.817850969274	1	330.617877856754	1	1
CD164	204.071961569899	306.600432404173	1	259.214848947388	272.799208918384	238.072212985739	1	214.511044800066
CD1C	1	1	1	1	1	415.650689049263	1	1
CD2	1	1	1	1	925.942365858593	1	1	1
CD24	428.15617406011	1	1	1	1	1	1	1
CD27	1	1	1	1	1	1	1	902.53284354336
CD300A	1	318.894381703662	1	260.166864978047	1	233.761235213501	1	1
CD300E	1	1	405.062429855723	1	1	1	1	1
CD302	1	208.600405319802	1	1	1	211.66333630288	1	1
CD37	1	1	749.335277941831	533.217318339059	468.152198137716	478.227552582821	488.854735400965	164.970705198168
CD38	1	1	1	1	1	1	1	471.164059974154
CD3D	1	1	1	1	548.520661315471	1	1	1
CD3E	1	1	1	1	605.426838775964	1	1	1
CD3G	1	1	1	1	300.555093337736	1	1	1
CD4	1	837.004356440834	402.778566953812	552.647794460048	1	598.424290775991	413.927386316394	1
CD44	1	406.300465710282	714.854214567153	609.702122114204	504.306637137088	456.019717784991	1	376.138251400826
